rmse,mae,mape,smape,directional_accuracy,ic,mape_improvement_vs_baseline,fold,model,train_size,val_size,val_start,val_end
0.02123670723153381,0.017045431437772502,138.37880332936777,157.9944477380334,47.61904761904761,0.0778793179993444,54.02917451145734,1,arima,504,63,2021-01-04,2021-04-05
0.028425314277561765,0.023287182238144192,310.6654067640549,141.45950162130512,52.38095238095239,0.038018433179723504,-3.2061620426410515,1,lstm,504,63,2021-01-04,2021-04-05
0.02361828175944093,0.019534073933972298,213.8853310763884,150.47451293849917,46.03174603174603,0.04550691244239631,28.94514916371518,1,ensemble,504,63,2021-01-04,2021-04-05
0.018722311611981766,0.014573843984294472,124.70827710988313,152.8782409959042,46.03174603174603,-0.09887243557067799,58.00803033356489,2,arima,525,63,2021-02-03,2021-05-04
0.017953682424194563,0.013851793089151944,121.86486681062436,160.10440614394022,60.317460317460316,0.14664938556067592,58.96546797766366,2,lstm,525,63,2021-02-03,2021-05-04
0.01793528308466316,0.013972205915926903,104.39861646674018,164.17199878250472,52.38095238095239,0.11875960061443933,64.84673160846897,2,ensemble,525,63,2021-02-03,2021-05-04
0.016399117688998027,0.013072827844577117,120.9600227273857,158.10794158107964,49.2063492063492,-0.011894651701745163,54.63683094203595,3,arima,546,63,2021-03-05,2021-06-03
0.02372863534542025,0.01976441564176038,353.71406451068697,158.55885105869933,42.857142857142854,-0.05395545314900154,-32.652016300796596,3,lstm,546,63,2021-03-05,2021-06-03
0.018556950417914858,0.0154052658095471,221.4678246554695,161.45544717703416,41.269841269841265,-0.04973118279569893,16.943779074943496,3,ensemble,546,63,2021-03-05,2021-06-03
0.013196927942821566,0.010723008012498845,186.43518554053207,150.17708126525713,52.38095238095239,-0.006984075836971279,69.14707384247993,4,arima,567,63,2021-04-06,2021-07-02
0.031032926862055547,0.026643410812541075,1374.7589167803249,151.0015618127633,49.2063492063492,0.05649961597542243,-127.50713724365248,4,lstm,567,63,2021-04-06,2021-07-02
0.018970094638962938,0.0157860875169062,746.0663319175693,143.90397362586404,49.2063492063492,0.05894777265745007,-23.465586072325976,4,ensemble,567,63,2021-04-06,2021-07-02
0.012478768968953988,0.010278791419449049,172.694413794927,151.37149016717427,53.96825396825397,0.006984075836971279,69.26609718921351,5,arima,588,63,2021-05-05,2021-08-03
0.020060352157565183,0.014917954589267705,320.95246697718625,131.60830360114497,55.55555555555556,0.05333141321044547,42.88105961161803,5,lstm,588,63,2021-05-05,2021-08-03
0.014777805759349158,0.011006813730770641,229.00499945145935,129.18313560218354,53.96825396825397,0.05179531490015361,59.244672472827155,5,ensemble,588,63,2021-05-05,2021-08-03
0.01145739451725837,0.009031278635804845,160.8781047767356,143.94318317582307,60.317460317460316,0.174601895924282,74.50881422438394,6,arima,609,63,2021-06-04,2021-09-01
0.04418290528412121,0.038236915891973464,1551.979120052503,162.5447841328228,49.2063492063492,0.02620967741935484,-145.91157462998962,6,lstm,609,63,2021-06-04,2021-09-01
0.02392285141090185,0.020456134177115417,771.2866254916615,149.21033921366873,49.2063492063492,0.0317300307219662,-22.21060587418801,6,ensemble,609,63,2021-06-04,2021-09-01
0.01306226217381625,0.01010555225655731,127.01390587653493,144.88413585356,53.96825396825397,-0.16761782008731071,57.00561665707684,7,arima,630,63,2021-07-06,2021-10-01
0.021399120514560735,0.01680792767344939,357.2074149824635,147.62451530077075,44.44444444444444,-0.03773041474654378,-20.915205517886175,7,lstm,630,63,2021-07-06,2021-10-01
0.015447710578239057,0.012040732332244963,217.73093341973805,143.50233529890397,49.2063492063492,-0.03974654377880184,26.297776983881207,7,ensemble,630,63,2021-07-06,2021-10-01
0.012465975097108527,0.009403764335710975,146.13163508623327,144.8682387739369,52.38095238095239,0.05587260669577023,51.041761014110776,8,arima,651,63,2021-08-04,2021-11-01
0.015412231736153968,0.012171243244459095,284.22046060679975,150.66359047627827,44.44444444444444,-0.11165514592933949,4.7780911583181815,8,lstm,651,63,2021-08-04,2021-11-01
0.013310376666961615,0.010220239320452256,169.3246849020151,153.33966969644985,47.61904761904761,-0.11223118279569892,43.2714320567798,8,ensemble,651,63,2021-08-04,2021-11-01
0.013444286952099089,0.009977097326481985,190.80483199347918,137.7149776952964,58.730158730158735,0.09777706171759791,70.62844853395008,9,arima,672,63,2021-09-02,2021-12-01
0.019145085951211505,0.01483900097127976,425.05617233196426,136.27653276323483,60.317460317460316,0.024145545314900155,34.568956607780564,9,lstm,672,63,2021-09-02,2021-12-01
0.015251274802825615,0.01124359217492579,266.5830480898558,134.38233784406168,55.55555555555556,0.02548963133640553,58.96352500540838,9,ensemble,672,63,2021-09-02,2021-12-01
0.015077872423751554,0.011517776803273488,180.5822777710524,154.64645955584618,57.14285714285714,0.01179920278539027,71.83075822673206,10,arima,693,63,2021-10-04,2021-12-31
0.020610151121478557,0.016164590590295905,307.468459993366,150.39008961539471,46.03174603174603,-0.0025921658986175116,52.037633514688764,10,lstm,693,63,2021-10-04,2021-12-31
0.01681479709820724,0.012787669158770809,199.94187931131825,149.85369211300207,52.38095238095239,-0.009648617511520737,68.81083122640213,10,ensemble,693,63,2021-10-04,2021-12-31
0.018261772491559723,0.013682147385194876,202.85167423799012,162.92349515647322,52.38095238095239,-0.21190148934185507,71.77510678105577,11,arima,714,63,2021-11-02,2022-02-01
0.022165030419455785,0.018022402051693483,604.7034243655078,160.09747325373786,47.61904761904761,-0.126392089093702,15.861233849999284,11,lstm,714,63,2021-11-02,2022-02-01
0.019447297900559886,0.015705446366756522,391.24316164998413,171.56985937655412,49.2063492063492,-0.14069700460829496,45.562211888587704,11,ensemble,714,63,2021-11-02,2022-02-01
0.018620759389838752,0.014651194631706579,149.76803423017054,176.08918174068287,42.857142857142854,-0.26094717659589484,58.043669577200674,12,arima,735,63,2021-12-02,2022-03-03
0.01886065592246888,0.014062886900502957,245.46123818676793,138.36848327722385,61.904761904761905,0.1364247311827957,31.23597523136325,12,lstm,735,63,2021-12-02,2022-03-03
0.01836835740882365,0.013984788707961557,151.5347473573693,156.32769381483976,57.14285714285714,0.09994239631336405,57.548738865797134,12,ensemble,735,63,2021-12-02,2022-03-03
0.020024229498702965,0.016090095295623774,153.53203504868526,167.83344263388304,34.92063492063492,-0.34629342427232085,53.92024759695517,13,arima,756,63,2022-01-03,2022-04-01
